,logk,logk_est,logk_est_L,logk_est_U
0,-5.0,-5.59,-8.386,-3.662
1,-4.929292929292929,-5.68,-8.571,-3.605
2,-4.858585858585859,-4.373,-6.256,-3.559
3,-4.787878787878788,-5.696,-8.691,-3.699
4,-4.717171717171717,-5.489,-8.253,-3.672
5,-4.646464646464646,-5.615,-8.6,-3.638
6,-4.575757575757576,-5.532,-8.338,-3.706
7,-4.505050505050505,-5.532,-8.317,-3.686
8,-4.434343434343434,-5.52,-8.092,-3.68
9,-4.363636363636363,-5.463,-8.228,-3.681
10,-4.292929292929293,-5.641,-8.671,-3.659
11,-4.222222222222222,-5.61,-8.493,-3.662
12,-4.151515151515151,-5.662,-8.672,-3.632
13,-4.080808080808081,-5.657,-8.43,-3.661
14,-4.01010101010101,-5.633,-8.45,-3.666
15,-3.9393939393939394,-5.507,-8.25,-3.68
16,-3.8686868686868685,-4.381,-6.206,-3.51
17,-3.797979797979798,-4.298,-5.929,-3.572
18,-3.7272727272727275,-3.602,-4.023,-2.71
19,-3.6565656565656566,-3.207,-3.674,-2.538
20,-3.5858585858585856,-3.06,-3.614,-2.533
21,-3.515151515151515,-3.345,-3.764,-2.664
22,-3.4444444444444446,-3.326,-3.734,-2.775
23,-3.3737373737373737,-3.326,-3.731,-2.723
24,-3.303030303030303,-3.059,-3.585,-2.531
25,-3.2323232323232327,-3.072,-3.616,-2.553
26,-3.1616161616161618,-3.058,-3.599,-2.55
27,-3.090909090909091,-3.06,-3.587,-2.509
28,-3.0202020202020203,-3.318,-3.752,-2.756
29,-2.9494949494949494,-3.084,-3.611,-2.558
30,-2.878787878787879,-2.941,-3.575,-2.486
31,-2.808080808080808,-2.624,-3.181,-2.29
32,-2.7373737373737375,-3.043,-3.572,-2.495
33,-2.666666666666667,-3.07,-3.613,-2.54
34,-2.595959595959596,-3.071,-3.603,-2.551
35,-2.5252525252525255,-2.787,-3.324,-2.401
36,-2.4545454545454546,-2.507,-2.806,-2.26
37,-2.383838383838384,-2.253,-2.485,-2.029
38,-2.313131313131313,-2.318,-2.533,-2.061
39,-2.2424242424242427,-2.252,-2.471,-2.003
40,-2.1717171717171717,-2.252,-2.475,-2.024
41,-2.101010101010101,-2.069,-2.306,-1.825
42,-2.0303030303030303,-2.232,-2.565,-1.944
43,-1.9595959595959598,-2.027,-2.222,-1.84
44,-1.8888888888888888,-1.882,-2.027,-1.734
45,-1.8181818181818183,-1.96,-2.119,-1.793
46,-1.7474747474747474,-1.8,-1.959,-1.649
47,-1.676767676767677,-1.707,-1.862,-1.565
48,-1.6060606060606064,-1.641,-1.814,-1.48
49,-1.5353535353535355,-1.668,-1.819,-1.497
50,-1.464646464646465,-1.569,-1.763,-1.36
51,-1.393939393939394,-1.532,-1.728,-1.29
52,-1.3232323232323235,-1.433,-1.643,-1.204
53,-1.2525252525252526,-1.391,-1.618,-1.169
54,-1.181818181818182,-1.154,-1.377,-0.943
55,-1.1111111111111112,-1.259,-1.485,-1.06
56,-1.0404040404040407,-1.019,-1.181,-0.851
57,-0.9696969696969697,-0.839,-1.007,-0.666
58,-0.8989898989898988,-0.893,-1.061,-0.728
59,-0.8282828282828287,-0.733,-0.934,-0.479
60,-0.7575757575757578,-0.777,-0.962,-0.558
61,-0.6868686868686869,-0.817,-1.027,-0.637
62,-0.6161616161616159,-0.564,-0.816,-0.243
63,-0.5454545454545459,-0.519,-0.786,-0.209
64,-0.4747474747474749,-0.454,-0.746,-0.158
65,-0.404040404040404,-0.449,-0.743,-0.141
66,-0.3333333333333339,-0.481,-0.788,-0.144
67,-0.262626262626263,0.952,-0.643,4.548
68,-0.19191919191919204,0.063,-0.835,1.495
69,-0.1212121212121211,0.39,-0.31,2.029
70,-0.05050505050505105,-0.568,-0.826,-0.252
71,0.020202020202019888,2.055,-0.184,5.31
72,0.09090909090909083,1.964,-0.153,4.939
73,0.16161616161616177,0.664,-0.321,3.478
74,0.23232323232323182,0.415,-0.325,2.276
75,0.30303030303030276,1.811,-0.212,4.644
76,0.3737373737373737,0.522,-0.336,2.841
77,0.44444444444444464,1.985,-0.135,4.988
78,0.5151515151515147,0.511,-0.283,2.573
79,0.5858585858585856,2.033,-0.101,5.241
80,0.6565656565656566,1.352,-0.313,4.453
81,0.7272727272727266,1.974,-0.105,5.088
82,0.7979797979797976,1.939,-0.18,4.911
83,0.8686868686868685,1.938,-0.167,5.107
84,0.9393939393939394,1.85,-0.187,4.829
85,1.0101010101010095,1.942,-0.139,5.072
86,1.0808080808080804,1.997,-0.141,5.203
87,1.1515151515151514,2.109,-0.209,5.857
88,1.2222222222222223,1.959,-0.159,4.989
89,1.2929292929292924,2.089,-0.168,5.449
90,1.3636363636363633,1.945,-0.15,4.718
91,1.4343434343434343,1.943,-0.112,4.895
92,1.5050505050505052,1.953,-0.122,4.971
93,1.5757575757575752,2.048,-0.16,5.135
94,1.6464646464646462,1.938,-0.174,5.016
95,1.7171717171717171,2.205,-0.196,5.929
96,1.7878787878787872,1.943,-0.154,5.161
97,1.8585858585858581,1.99,-0.185,4.97
98,1.929292929292929,2.049,-0.115,5.195
99,2.0,2.011,-0.206,5.168
