,logk,logk_est,logk_est_L,logk_est_U
0,-12.0,-9.495,-11.2,-8.153
1,-11.868686868686869,-10.021,-12.162,-8.419
2,-11.737373737373737,-9.551,-11.488,-8.253
3,-11.606060606060606,-9.994,-12.194,-8.448
4,-11.474747474747474,-9.563,-11.523,-8.141
5,-11.343434343434343,-9.54,-11.396,-8.213
6,-11.212121212121213,-9.615,-11.746,-8.178
7,-11.080808080808081,-9.162,-10.778,-7.907
8,-10.94949494949495,-10.039,-12.232,-8.442
9,-10.818181818181818,-8.596,-9.589,-7.83
10,-10.686868686868687,-10.045,-12.142,-8.482
11,-10.555555555555555,-9.598,-11.633,-8.167
12,-10.424242424242424,-9.976,-11.971,-8.382
13,-10.292929292929292,-9.566,-11.685,-8.177
14,-10.16161616161616,-9.581,-11.574,-8.165
15,-10.03030303030303,-10.006,-11.931,-8.423
16,-9.8989898989899,-10.017,-12.095,-8.438
17,-9.767676767676768,-9.047,-10.599,-7.878
18,-9.636363636363637,-9.492,-11.371,-8.151
19,-9.505050505050505,-9.971,-12.105,-8.466
20,-9.373737373737374,-9.089,-10.691,-7.943
21,-9.242424242424242,-9.478,-11.3,-8.147
22,-9.11111111111111,-9.492,-11.237,-8.164
23,-8.97979797979798,-8.207,-8.862,-7.642
24,-8.848484848484848,-8.271,-9.015,-7.667
25,-8.717171717171716,-8.577,-9.552,-7.761
26,-8.585858585858585,-9.005,-10.45,-7.936
27,-8.454545454545453,-9.478,-11.306,-8.173
28,-8.323232323232322,-8.255,-8.888,-7.646
29,-8.191919191919192,-8.271,-8.895,-7.666
30,-8.06060606060606,-8.062,-8.623,-7.546
31,-7.929292929292929,-7.831,-8.32,-7.369
32,-7.797979797979798,-7.489,-7.972,-6.94
33,-7.666666666666666,-7.314,-7.768,-6.886
34,-7.535353535353535,-7.543,-7.947,-7.053
35,-7.404040404040404,-7.145,-7.577,-6.777
36,-7.2727272727272725,-7.324,-7.755,-6.894
37,-7.141414141414141,-6.835,-7.258,-6.187
38,-7.0101010101010095,-7.017,-7.422,-6.699
39,-6.878787878787878,-6.759,-7.229,-6.176
40,-6.747474747474747,-6.656,-7.013,-6.215
41,-6.616161616161616,-6.394,-6.827,-6.0
42,-6.484848484848484,-6.082,-6.559,-5.808
43,-6.353535353535353,-6.399,-6.819,-5.992
44,-6.222222222222221,-6.395,-6.813,-6.013
45,-6.09090909090909,-6.391,-6.809,-5.994
46,-5.959595959595959,-6.078,-6.452,-5.803
47,-5.828282828282828,-5.524,-5.905,-5.152
48,-5.696969696969696,-5.528,-5.925,-5.168
49,-5.565656565656565,-5.534,-5.899,-5.15
50,-5.434343434343433,-5.522,-5.896,-5.151
51,-5.303030303030303,-5.312,-5.673,-5.03
52,-5.171717171717171,-5.517,-5.917,-5.161
53,-5.04040404040404,-4.598,-5.031,-4.174
54,-4.909090909090908,-4.611,-5.061,-4.212
55,-4.777777777777777,-4.277,-4.908,-3.986
56,-4.646464646464645,-4.614,-5.033,-4.2
57,-4.515151515151515,-4.614,-5.043,-4.193
58,-4.383838383838383,-4.602,-5.045,-4.201
59,-4.252525252525252,-3.969,-4.219,-3.403
60,-4.12121212121212,-4.265,-4.77,-4.015
61,-3.9898989898989896,-3.652,-4.07,-3.243
62,-3.858585858585858,-3.669,-4.099,-3.281
63,-3.7272727272727266,-3.643,-4.064,-3.249
64,-3.595959595959595,-3.651,-4.072,-3.239
65,-3.4646464646464636,-3.652,-4.073,-3.24
66,-3.333333333333332,-3.308,-3.877,-3.074
67,-3.2020202020202007,-3.028,-3.278,-2.421
68,-3.070707070707069,-2.723,-3.113,-2.327
69,-2.9393939393939377,-2.73,-3.129,-2.332
70,-2.808080808080808,-2.72,-3.109,-2.336
71,-2.6767676767676765,-2.718,-3.121,-2.319
72,-2.545454545454545,-2.734,-3.131,-2.335
73,-2.4141414141414135,-2.712,-3.118,-2.33
74,-2.282828282828282,-2.718,-3.1,-2.313
75,-2.1515151515151505,-2.148,-2.358,-1.727
76,-2.020202020202019,-1.852,-2.243,-1.47
77,-1.8888888888888875,-1.84,-2.207,-1.436
78,-1.757575757575756,-1.843,-2.23,-1.447
79,-1.6262626262626245,-1.46,-2.232,-1.243
80,-1.4949494949494948,-1.463,-2.204,-1.29
81,-1.3636363636363633,-1.539,-1.95,-1.331
82,-1.2323232323232318,0.978,-1.4,4.299
83,-1.1010101010101003,-0.262,-1.489,3.569
84,-0.9696969696969688,1.036,-1.358,4.593
85,-0.8383838383838373,1.09,-1.362,4.793
86,-0.7070707070707059,1.02,-1.4,4.453
87,-0.5757575757575744,1.262,-1.35,4.932
88,-0.44444444444444287,0.942,-1.399,4.356
89,-0.3131313131313114,1.024,-1.38,4.52
90,-0.18181818181817988,0.969,-1.388,4.163
91,-0.050505050505050164,1.075,-1.409,4.448
92,0.08080808080808133,0.896,-1.382,4.16
93,0.21212121212121282,1.025,-1.387,4.436
94,0.3434343434343443,1.072,-1.4,4.789
95,0.4747474747474758,1.148,-1.401,4.808
96,0.6060606060606073,0.909,-1.358,4.396
97,0.7373737373737388,0.979,-1.37,4.364
98,0.8686868686868703,0.944,-1.41,4.292
99,1.0,1.082,-1.372,4.559
