,logk,logk_est,logk_est_L,logk_est_U
0,-12.0,-7.792,-9.895,-6.207
1,-11.848484848484848,-8.531,-10.884,-6.571
2,-11.696969696969697,-8.945,-11.448,-6.975
3,-11.545454545454545,-9.09,-11.469,-7.097
4,-11.393939393939394,-8.849,-11.438,-6.854
5,-11.242424242424242,-8.787,-10.974,-6.957
6,-11.09090909090909,-7.998,-10.363,-6.28
7,-10.93939393939394,-7.428,-9.275,-5.985
8,-10.787878787878787,-8.675,-11.113,-6.641
9,-10.636363636363637,-8.028,-10.34,-6.296
10,-10.484848484848484,-7.768,-9.904,-6.082
11,-10.333333333333334,-8.553,-11.009,-6.782
12,-10.181818181818182,-8.503,-10.756,-6.58
13,-10.030303030303031,-8.66,-10.908,-6.772
14,-9.878787878787879,-8.844,-11.213,-6.97
15,-9.727272727272727,-7.912,-10.13,-6.25
16,-9.575757575757576,-8.622,-10.918,-6.749
17,-9.424242424242424,-8.662,-11.115,-6.779
18,-9.272727272727273,-7.987,-10.052,-6.091
19,-9.121212121212121,-8.259,-10.544,-6.4
20,-8.969696969696969,-8.021,-10.323,-6.256
21,-8.818181818181818,-8.72,-11.021,-6.707
22,-8.666666666666666,-8.814,-11.306,-6.891
23,-8.515151515151516,-8.91,-11.256,-6.88
24,-8.363636363636363,-8.716,-10.937,-6.748
25,-8.212121212121211,-7.936,-10.19,-6.246
26,-8.06060606060606,-8.34,-10.517,-6.474
27,-7.909090909090909,-7.244,-9.158,-5.795
28,-7.757575757575758,-6.855,-8.428,-5.552
29,-7.6060606060606055,-8.19,-10.853,-6.413
30,-7.454545454545454,-8.461,-10.757,-6.638
31,-7.303030303030303,-7.015,-8.522,-5.747
32,-7.151515151515151,-7.176,-8.881,-5.838
33,-7.0,-7.317,-9.545,-5.746
34,-6.848484848484849,-7.122,-9.03,-5.729
35,-6.696969696969697,-6.712,-8.068,-5.521
36,-6.545454545454545,-6.608,-7.805,-5.547
37,-6.393939393939394,-7.343,-9.122,-5.896
38,-6.242424242424242,-5.865,-6.734,-4.927
39,-6.090909090909091,-6.482,-7.771,-5.577
40,-5.9393939393939394,-5.847,-6.873,-4.844
41,-5.787878787878788,-5.702,-6.687,-4.865
42,-5.636363636363636,-5.325,-6.194,-4.521
43,-5.484848484848484,-5.521,-6.485,-4.661
44,-5.333333333333333,-5.314,-6.303,-4.31
45,-5.181818181818182,-5.363,-6.17,-4.593
46,-5.03030303030303,-5.0,-5.885,-4.17
47,-4.878787878787879,-4.674,-5.577,-3.827
48,-4.727272727272727,-4.481,-5.301,-3.713
49,-4.575757575757575,-4.842,-5.646,-4.051
50,-4.424242424242424,-4.422,-5.257,-3.576
51,-4.2727272727272725,-3.856,-4.782,-2.949
52,-4.121212121212121,-3.584,-4.31,-2.793
53,-3.969696969696969,-3.791,-4.7,-2.957
54,-3.8181818181818183,-4.059,-4.898,-3.325
55,-3.666666666666666,-3.784,-4.578,-3.071
56,-3.5151515151515156,-3.345,-4.13,-2.521
57,-3.3636363636363633,-3.379,-4.174,-2.609
58,-3.212121212121211,-2.872,-3.679,-2.188
59,-3.0606060606060606,-3.265,-4.092,-2.419
60,-2.9090909090909083,-2.893,-3.656,-2.064
61,-2.757575757575758,-2.895,-3.713,-2.036
62,-2.6060606060606055,-2.725,-3.449,-2.028
63,-2.454545454545455,-2.077,-2.823,-1.264
64,-2.3030303030303028,-2.415,-3.1,-1.595
65,-2.1515151515151505,-1.943,-2.71,-1.173
66,-2.0,-1.93,-2.691,-1.121
67,-1.8484848484848477,-1.213,-2.567,0.855
68,-1.6969696969696972,-1.396,-2.74,0.142
69,-1.545454545454545,-2.109,-2.994,-1.18
70,-1.3939393939393945,1.429,-1.449,4.872
71,-1.2424242424242422,1.489,-1.414,5.05
72,-1.09090909090909,-1.107,-2.369,0.519
73,-0.9393939393939394,0.896,-1.651,4.583
74,-0.7878787878787872,0.208,-1.966,3.796
75,-0.6363636363636367,1.35,-1.428,4.774
76,-0.4848484848484844,0.823,-1.718,4.326
77,-0.33333333333333215,-0.419,-2.125,2.955
78,-0.18181818181818166,0.857,-1.791,4.537
79,-0.030303030303029388,0.198,-1.974,3.963
80,0.1212121212121211,1.48,-1.234,4.827
81,0.2727272727272734,0.989,-1.653,4.395
82,0.42424242424242387,1.468,-1.272,5.227
83,0.5757575757575761,0.851,-1.903,4.595
84,0.7272727272727284,1.401,-1.275,4.868
85,0.8787878787878789,1.451,-1.274,5.168
86,1.0303030303030312,1.433,-1.422,4.85
87,1.1818181818181817,0.296,-1.965,3.85
88,1.333333333333334,0.761,-1.741,4.36
89,1.4848484848484844,1.037,-1.696,4.418
90,1.6363636363636367,1.375,-1.184,4.849
91,1.787878787878789,1.43,-1.379,4.902
92,1.9393939393939394,0.652,-1.902,4.376
93,2.0909090909090917,1.516,-1.377,4.876
94,2.242424242424242,1.212,-1.353,4.616
95,2.3939393939393945,1.558,-1.281,5.135
96,2.5454545454545467,1.451,-1.236,5.203
97,2.6969696969696972,1.378,-1.254,4.49
98,2.8484848484848495,1.432,-1.263,4.933
99,3.0,0.655,-1.69,4.136
