,logk,logk_est,logk_est_L,logk_est_U
0,-12.0,-5.256,-7.762,-3.559
1,-11.848484848484848,-6.719,-9.463,-4.531
2,-11.696969696969697,-4.339,-5.814,-3.185
3,-11.545454545454545,-6.594,-9.345,-4.296
4,-11.393939393939394,-6.306,-9.116,-4.149
5,-11.242424242424242,-6.757,-9.784,-4.627
6,-11.09090909090909,-5.867,-8.555,-3.924
7,-10.93939393939394,-6.435,-9.141,-4.192
8,-10.787878787878787,-6.7,-9.421,-4.455
9,-10.636363636363637,-5.458,-8.193,-3.668
10,-10.484848484848484,-5.267,-7.945,-3.566
11,-10.333333333333334,-5.39,-7.861,-3.682
12,-10.181818181818182,-6.875,-9.936,-4.637
13,-10.030303030303031,-6.35,-9.155,-4.239
14,-9.878787878787879,-5.161,-7.426,-3.438
15,-9.727272727272727,-6.623,-9.395,-4.342
16,-9.575757575757576,-5.939,-8.633,-3.875
17,-9.424242424242424,-6.721,-9.401,-4.501
18,-9.272727272727273,-6.685,-9.418,-4.611
19,-9.121212121212121,-6.813,-9.623,-4.4
20,-8.969696969696969,-6.702,-9.556,-4.555
21,-8.818181818181818,-6.137,-8.946,-3.975
22,-8.666666666666666,-5.036,-7.372,-3.455
23,-8.515151515151516,-6.307,-9.284,-4.015
24,-8.363636363636363,-5.815,-8.623,-3.821
25,-8.212121212121211,-6.725,-9.662,-4.57
26,-8.06060606060606,-5.47,-8.075,-3.664
27,-7.909090909090909,-6.096,-8.61,-3.932
28,-7.757575757575758,-5.841,-8.771,-3.801
29,-7.6060606060606055,-5.549,-8.108,-3.767
30,-7.454545454545454,-6.59,-9.703,-4.257
31,-7.303030303030303,-6.745,-9.451,-4.465
32,-7.151515151515151,-5.171,-7.502,-3.517
33,-7.0,-6.381,-9.129,-4.119
34,-6.848484848484849,-6.629,-9.554,-4.227
35,-6.696969696969697,-6.74,-9.394,-4.416
36,-6.545454545454545,-6.487,-9.224,-4.376
37,-6.393939393939394,-6.706,-9.683,-4.41
38,-6.242424242424242,-6.202,-8.946,-4.035
39,-6.090909090909091,-6.191,-8.987,-4.191
40,-5.9393939393939394,-6.273,-9.123,-4.181
41,-5.787878787878788,-5.824,-8.561,-3.759
42,-5.636363636363636,-5.962,-8.493,-3.887
43,-5.484848484848484,-6.327,-8.996,-4.129
44,-5.333333333333333,-6.257,-8.974,-4.095
45,-5.181818181818182,-6.679,-9.464,-4.377
46,-5.03030303030303,-4.383,-6.021,-3.202
47,-4.878787878787879,-4.958,-7.126,-3.416
48,-4.727272727272727,-4.886,-7.2,-3.387
49,-4.575757575757575,-5.185,-7.686,-3.479
50,-4.424242424242424,-4.003,-5.056,-3.063
51,-4.2727272727272725,-5.48,-8.164,-3.815
52,-4.121212121212121,-3.635,-4.538,-2.865
53,-3.969696969696969,-3.22,-3.948,-2.435
54,-3.8181818181818183,-4.349,-5.604,-3.218
55,-3.666666666666666,-3.05,-3.752,-2.249
56,-3.5151515151515156,-3.774,-4.707,-2.781
57,-3.3636363636363633,-3.161,-3.936,-2.367
58,-3.212121212121211,-3.511,-4.355,-2.694
59,-3.0606060606060606,-1.962,-2.955,-1.116
60,-2.9090909090909083,-2.923,-3.662,-2.139
61,-2.757575757575758,-1.928,-2.802,-1.154
62,-2.6060606060606055,-3.199,-3.975,-2.343
63,-2.454545454545455,-2.03,-2.983,-1.175
64,-2.3030303030303028,-1.809,-2.63,-0.957
65,-2.1515151515151505,-2.307,-3.233,-1.368
66,-2.0,-1.946,-2.717,-1.133
67,-1.8484848484848477,-1.617,-2.374,-0.901
68,-1.6969696969696972,-1.374,-2.193,-0.608
69,-1.545454545454545,-0.989,-1.684,-0.259
70,-1.3939393939393945,-1.423,-2.191,-0.753
71,-1.2424242424242422,-1.549,-2.373,-0.779
72,-1.09090909090909,-0.882,-1.521,-0.147
73,-0.9393939393939394,-1.53,-2.325,-0.741
74,-0.7878787878787872,-0.384,-1.067,0.299
75,-0.6363636363636367,-0.759,-1.464,-0.081
76,-0.4848484848484844,0.001,-0.709,0.769
77,-0.33333333333333215,-0.392,-1.062,0.372
78,-0.18181818181818166,-0.024,-0.716,0.686
79,-0.030303030303029388,1.052,-0.266,3.117
80,0.1212121212121211,0.252,-0.589,1.14
81,0.2727272727272734,0.319,-0.565,1.203
82,0.42424242424242387,1.364,-0.032,3.631
83,0.5757575757575761,0.313,-0.523,1.095
84,0.7272727272727284,0.545,-0.41,1.568
85,0.8787878787878789,0.16,-0.557,1.006
86,1.0303030303030312,2.974,0.553,5.953
87,1.1818181818181817,0.286,-0.549,1.135
88,1.333333333333334,1.4,-0.081,4.016
89,1.4848484848484844,2.46,0.332,5.731
90,1.6363636363636367,2.345,0.358,5.24
91,1.787878787878789,1.728,-0.064,4.323
92,1.9393939393939394,2.434,0.335,5.283
93,2.0909090909090917,2.951,0.664,5.934
94,2.242424242424242,2.443,0.364,5.518
95,2.3939393939393945,1.804,0.127,4.483
96,2.5454545454545467,1.414,-0.101,3.626
97,2.6969696969696972,3.075,0.558,6.246
98,2.8484848484848495,2.928,0.606,5.842
99,3.0,2.065,0.282,4.884
